起点ID	终点ID	E0	E1	E2	E3	F0	F1	F2	F3
0	1	1.000	0.194	0.754	-0.107	1.000	-2.845	0.011	0.110
1	2	1.841	1.520	0.882	-0.279	-1.724	-2.746	0.523	-0.089
2	3	3.964	2.652	0.859	-0.322	-4.037	-2.134	0.760	0.183
3	4	7.153	3.837	-0.009	-0.256	-5.228	-0.072	2.027	-0.551
4	5	10.724	2.576	-0.487	-0.091	-3.824	1.965	0.767	-0.181
5	6	12.722	1.575	-3.991	2.756	-1.273	3.504	1.111	-0.789
6	7	13.063	2.010	1.563	-0.640	2.553	3.630	-1.077	0.381
7	8	15.996	3.306	1.741	-1.305	5.487	2.690	-2.406	1.757
8	9	19.738	2.989	-9.069	3.572	7.528	3.276	4.393	-4.012
9	10	17.229	-4.050	-0.011	0.022	11.184	0.023	-0.345	0.024
10	11	13.190	-4.266	0.010	0.004	10.887	-0.632	-0.078	-0.013
11	12	8.938	-5.666	0.248	0.018	10.164	-1.106	-1.238	0.303
12	13	3.539	-3.859	1.535	0.027	8.123	-2.016	-2.769	1.086
